file_source,final_score,p1_green1,p1_green2,p1_green3,p1_green4,p1_green5,p1_yellow1,p1_yellow2,p1_yellow3,p1_yellow4,p1_yellow5,p1_white1,p1_white2,p1_white3,p1_white4,p1_white5,p1_blue1,p1_blue2,p1_blue3,p1_blue4,p1_blue5,p1_red1,p1_red2,p1_red3,p1_red4,p1_red5,p2_green1,p2_green2,p2_green3,p2_green4,p2_green5,p2_yellow1,p2_yellow2,p2_yellow3,p2_yellow4,p2_yellow5,p2_white1,p2_white2,p2_white3,p2_white4,p2_white5,p2_blue1,p2_blue2,p2_blue3,p2_blue4,p2_blue5,p2_red1,p2_red2,p2_red3,p2_red4,p2_red5,1_count,2_count,3_count,4_count,5_count,green_count,yellow_count,white_count,blue_count,red_count,p1_hand_sum,p1_avg_value,p2_hand_sum,p2_avg_value,p1_unique_cards,p2_unique_cards,avg_max_possible_progress
game6fdea3c23cf1be86.log,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,3,2,3,2,0,2,4,2,20,4.0,14,2.8,5,5,0.4
gamea982a0e21c2fb26b.log,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,4,2,3,0,2,3,2,17,3.4,21,4.2,4,4,0.0
gamee20ea45c1b74ce12.log,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,3,1,2,2,2,1,0,3,3,3,11,2.2,18,3.6,4,5,0.6
game065c951a827a6a29.log,15,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,5,3,1,1,0,2,3,4,18,3.6,16,3.2,4,4,0.0
gamef07c817216245e6e.log,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,3,2,3,1,1,1,4,3,1,16,3.2,14,2.8,5,5,0.2
gamef9d50ccffaec11e8.log,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,2,1,2,1,2,1,4,1,2,14,2.8,10,2.0,5,4,0.6
game2349e21f1eedb590.log,18,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,2,3,1,3,3,0,17,3.4,12,2.4,5,5,0.4
game11e068579da9350d.log,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,3,2,2,1,0,4,2,3,15,3.0,17,3.4,4,5,0.2
game4a78aca0ec360c22.log,6,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,4,3,1,2,1,4,1,2,18,3.6,13,2.6,4,5,0.4
gamec6171dffe921ce33.log,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,2,2,1,3,1,1,1,4,13,2.6,13,2.6,4,5,0.4
