file_source,final_score,p1_green1,p1_green2,p1_green3,p1_green4,p1_green5,p1_yellow1,p1_yellow2,p1_yellow3,p1_yellow4,p1_yellow5,p1_white1,p1_white2,p1_white3,p1_white4,p1_white5,p1_blue1,p1_blue2,p1_blue3,p1_blue4,p1_blue5,p1_red1,p1_red2,p1_red3,p1_red4,p1_red5,p2_green1,p2_green2,p2_green3,p2_green4,p2_green5,p2_yellow1,p2_yellow2,p2_yellow3,p2_yellow4,p2_yellow5,p2_white1,p2_white2,p2_white3,p2_white4,p2_white5,p2_blue1,p2_blue2,p2_blue3,p2_blue4,p2_blue5,p2_red1,p2_red2,p2_red3,p2_red4,p2_red5,p1_1_count,p1_2_count,p1_3_count,p1_4_count,p1_5_count,p1_hand_sum,p1_avg_value,p2_1_count,p2_2_count,p2_3_count,p2_4_count,p2_5_count,p2_hand_sum,p2_avg_value,id, ai, deck, score, time, first,ai,deck,score,age,boardgameexp,gamer,hanabiexp,recent,maxscore,intention,skill,like,publish
game03152df0cab585ac.log,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,15,3.0,3,1,0,1,0,9,1.8,19dbddedf07994e2, intentional,3065,1,1489966217.0, no, outer,3,8, 30s, 4, yes, 4, 4, 4, 5, 3, 3, yes
game0336f0a939c19cc1.log,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,3,2,0,0,0,7,1.4,1,2,0,1,1,14,2.8,e5bf83d96f9751cf, outer,1613,5,1490442917.0, no, full,5,16, , , , , , , 2, 2, 2, yes
game0352bbf84e5f7c57.log,11,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,3,0,0,12,2.4,0,2,2,1,0,14,2.8,c03bd0cac4c60891, intentional,3,16,1492709752.0, yes, intentional,3,16, , 3, no, 1, 1, 2, 5, 3, 4, yes
game036750ca513aea44.log,16,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,3,0,1,0,1,11,2.2,1,2,1,1,0,12,2.4,ca0922b34e670338, outer,3832,6,1491799052.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game03b1f5619815344d.log,4,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,1,0,0,8,1.6,0,2,2,1,0,14,2.8,ca0922b34e670338, intentional,4195,15,1492715036.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game03f8402b8e298ac4.log,19,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0,2,0,13,2.6,1,0,3,0,1,15,3.0,1b17ab93ed1184b4, intentional,9928,11,1491682032.0, no, full,3,8, 40s, 4, yes, 2, 2, 1, 4, 4, 3, yes
game03fcfc105789063a.log,16,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,15,3.0,2,1,0,1,1,13,2.6,80b582ddeb40b2ce, intentional,1,18,1490317942.0, yes, intentional,1,18, 20s, 4, yes, 3, 4, 3, 2, 1, 1, yes
game0402d6e2157518c7.log,24,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,13,2.6,1,0,2,2,0,15,3.0,ca0922b34e670338, full,40,15,1491751379.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game04121bbf4f535778.log,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,1,0,3,0,15,3.0,3,2,0,0,0,7,1.4,efd7f700f9a36398, full,2,4,1492105585.0, yes, full,2,4, 20s, 3, no, 1, 1, 1, 3, , 2, yes
game0422188edb7021b2.log,16,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,1,1,13,2.6,1,0,2,2,0,15,3.0,ca0922b34e670338, intentional,8435,17,1491784885.0, no, outer,1,13, 40s, 4, yes, 3, 4, 2, 3, 3, 3, yes
game04396097cd5b8499.log,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,9,1.8,1,1,2,0,1,14,2.8,d2f1c88c0be4a19b, intentional,3023,19,1490127521.0, no, intentional,4,13, 30s, 4, yes, 3, 4, 1, 2, 2, 2, yes
